Number of parameters: 24,627,840
iter 152: loss 4.6438, time 4809.29ms, mfu 0.05%
iter 153: loss 4.5508, time 4807.94ms, mfu 0.05%
iter 154: loss 4.4425, time 3792.82ms, mfu 0.05%
iter 155: loss 5.0219, time 1809.55ms, mfu 0.05%
iter 156: loss 4.8076, time 3137.74ms, mfu 0.05%
iter 157: loss 5.0595, time 4807.37ms, mfu 0.05%
iter 158: loss 4.5012, time 4809.30ms, mfu 0.05%
iter 159: loss 4.5815, time 4808.87ms, mfu 0.05%
iter 160: loss 4.3783, time 4808.28ms, mfu 0.05%
iter 161: loss 4.6003, time 4808.47ms, mfu 0.05%
iter 162: loss 4.3779, time 4809.85ms, mfu 0.05%
iter 163: loss 4.8321, time 4807.75ms, mfu 0.05%
iter 164: loss 4.4635, time 4814.50ms, mfu 0.05%
iter 165: loss 4.3243, time 4809.08ms, mfu 0.05%
iter 166: loss 4.8133, time 4807.00ms, mfu 0.05%
iter 167: loss 4.5205, time 4809.44ms, mfu 0.05%
iter 168: loss 4.9332, time 4808.70ms, mfu 0.04%
iter 169: loss 4.6514, time 4807.85ms, mfu 0.04%
iter 170: loss 5.0023, time 3861.28ms, mfu 0.05%
iter 171: loss 4.7036, time 3104.04ms, mfu 0.05%
iter 172: loss 4.8957, time 4808.93ms, mfu 0.05%
iter 173: loss 4.4526, time 4809.16ms, mfu 0.05%
iter 174: loss 4.7214, time 4808.10ms, mfu 0.05%
iter 175: loss 5.0004, time 2224.04ms, mfu 0.05%
iter 176: loss 4.6804, time 4323.92ms, mfu 0.05%
iter 177: loss 4.2885, time 4808.79ms, mfu 0.05%
iter 178: loss 4.5302, time 4815.04ms, mfu 0.05%
iter 179: loss 4.4459, time 4808.02ms, mfu 0.05%
iter 180: loss 4.0356, time 4808.27ms, mfu 0.05%
iter 181: loss 4.7451, time 4808.79ms, mfu 0.05%
iter 182: loss 4.4231, time 4808.04ms, mfu 0.05%
iter 183: loss 4.2490, time 4808.36ms, mfu 0.05%
iter 184: loss 4.7039, time 4809.29ms, mfu 0.04%
iter 185: loss 4.3915, time 4807.84ms, mfu 0.04%
iter 186: loss 4.7798, time 4810.76ms, mfu 0.04%
iter 187: loss 4.5593, time 4808.86ms, mfu 0.04%
iter 188: loss 4.5958, time 3610.79ms, mfu 0.04%
iter 189: loss 4.4556, time 1926.24ms, mfu 0.05%
iter 190: loss 4.6431, time 2209.04ms, mfu 0.05%
iter 191: loss 4.6498, time 4816.98ms, mfu 0.05%
iter 192: loss 4.8908, time 4811.61ms, mfu 0.05%
iter 193: loss 4.8139, time 4808.89ms, mfu 0.05%
iter 194: loss 4.2490, time 4807.24ms, mfu 0.05%
iter 195: loss 4.6669, time 4808.47ms, mfu 0.05%
iter 196: loss 4.5413, time 4807.76ms, mfu 0.05%
iter 197: loss 4.2228, time 4806.87ms, mfu 0.05%
iter 198: loss 4.3612, time 4807.91ms, mfu 0.05%
iter 199: loss 4.6702, time 4808.60ms, mfu 0.05%
iter 200: loss 4.5861, time 4807.49ms, mfu 0.05%
iter 201: loss 4.6599, time 4808.09ms, mfu 0.05%
iter 202: loss 4.5476, time 4787.07ms, mfu 0.05%
iter 203: loss 4.2769, time 4807.38ms, mfu 0.04%
iter 204: loss 4.4441, time 4815.29ms, mfu 0.04%
iter 205: loss 4.5328, time 4808.45ms, mfu 0.04%
iter 206: loss 4.4401, time 4806.83ms, mfu 0.04%
iter 207: loss 4.4035, time 4808.41ms, mfu 0.04%
iter 208: loss 4.5119, time 4809.40ms, mfu 0.04%
iter 209: loss 4.5555, time 4807.10ms, mfu 0.04%
iter 210: loss 4.3952, time 4809.25ms, mfu 0.04%
iter 211: loss 4.3209, time 4808.73ms, mfu 0.04%
iter 212: loss 4.7023, time 4808.40ms, mfu 0.04%
iter 213: loss 4.6518, time 4807.32ms, mfu 0.04%
