Number of parameters: 24,627,840
iter 292: loss 4.5509, time 4808.67ms, mfu 0.06%
iter 293: loss 4.1501, time 4806.66ms, mfu 0.06%
iter 294: loss 4.1189, time 4808.30ms, mfu 0.06%
iter 295: loss 4.3906, time 4808.86ms, mfu 0.05%
iter 296: loss 4.4225, time 4808.10ms, mfu 0.05%
iter 297: loss 3.6841, time 2379.98ms, mfu 0.06%
iter 298: loss 3.9468, time 2007.14ms, mfu 0.06%
iter 299: loss 4.2770, time 3335.72ms, mfu 0.06%
iter 300: loss 4.5894, time 4808.37ms, mfu 0.06%
iter 301: loss 4.1654, time 4808.20ms, mfu 0.06%
iter 302: loss 4.0837, time 4806.88ms, mfu 0.06%
iter 303: loss 4.3718, time 2347.55ms, mfu 0.06%
iter 304: loss 4.4869, time 1862.58ms, mfu 0.06%
iter 305: loss 4.1818, time 4523.75ms, mfu 0.06%
iter 306: loss 4.2605, time 4806.41ms, mfu 0.06%
iter 307: loss 3.9683, time 4809.41ms, mfu 0.06%
iter 308: loss 4.2581, time 4807.77ms, mfu 0.06%
iter 309: loss 3.9105, time 1919.95ms, mfu 0.06%
iter 310: loss 4.3995, time 2759.02ms, mfu 0.06%
iter 311: loss 4.3550, time 4463.30ms, mfu 0.06%
iter 312: loss 4.3135, time 3492.95ms, mfu 0.06%
iter 313: loss 4.2255, time 4136.15ms, mfu 0.06%
iter 314: loss 4.3784, time 4770.73ms, mfu 0.06%
iter 315: loss 4.5611, time 3376.22ms, mfu 0.06%
iter 316: loss 4.0917, time 4130.13ms, mfu 0.06%
iter 317: loss 4.4745, time 4786.46ms, mfu 0.05%
iter 318: loss 4.3971, time 4786.75ms, mfu 0.05%
iter 319: loss 4.3993, time 4137.25ms, mfu 0.05%
iter 320: loss 3.7725, time 1669.13ms, mfu 0.06%
iter 321: loss 4.1422, time 1798.43ms, mfu 0.06%
iter 322: loss 3.6660, time 2844.41ms, mfu 0.07%
iter 323: loss 4.6038, time 4807.58ms, mfu 0.06%
iter 324: loss 3.9859, time 4809.06ms, mfu 0.06%
iter 325: loss 4.9721, time 4806.76ms, mfu 0.06%
iter 326: loss 4.1231, time 2445.38ms, mfu 0.06%
iter 327: loss 4.2571, time 2226.59ms, mfu 0.06%
iter 328: loss 4.0938, time 4807.81ms, mfu 0.06%
iter 329: loss 3.9465, time 4805.94ms, mfu 0.06%
iter 330: loss 4.3558, time 4807.31ms, mfu 0.06%
iter 331: loss 3.7923, time 4807.13ms, mfu 0.06%
iter 332: loss 4.1616, time 4807.54ms, mfu 0.05%
iter 333: loss 4.2486, time 4787.47ms, mfu 0.05%
iter 334: loss 4.2504, time 4813.78ms, mfu 0.05%
iter 335: loss 3.8447, time 2086.73ms, mfu 0.06%
iter 336: loss 3.9736, time 4354.75ms, mfu 0.06%
iter 337: loss 3.9644, time 4807.44ms, mfu 0.05%
iter 338: loss 4.0761, time 4676.00ms, mfu 0.05%
iter 339: loss 4.3319, time 1573.76ms, mfu 0.06%
iter 340: loss 3.9422, time 4323.27ms, mfu 0.06%
iter 341: loss 4.3607, time 4786.86ms, mfu 0.06%
iter 342: loss 4.2633, time 3855.58ms, mfu 0.06%
iter 343: loss 4.1588, time 1998.14ms, mfu 0.06%
iter 344: loss 4.2913, time 4809.24ms, mfu 0.06%
iter 345: loss 3.7674, time 4808.57ms, mfu 0.06%
iter 346: loss 4.1550, time 1643.38ms, mfu 0.06%
iter 347: loss 3.6608, time 3245.03ms, mfu 0.06%
iter 348: loss 4.0576, time 4807.98ms, mfu 0.06%
iter 349: loss 4.2748, time 4814.49ms, mfu 0.06%
iter 350: loss 4.1646, time 1906.00ms, mfu 0.06%
iter 351: loss 4.1546, time 1873.79ms, mfu 0.07%
iter 352: loss 3.9918, time 4808.23ms, mfu 0.07%
iter 353: loss 4.0922, time 4808.15ms, mfu 0.06%
iter 354: loss 4.3113, time 4807.48ms, mfu 0.06%
iter 355: loss 4.0933, time 4802.99ms, mfu 0.06%
iter 356: loss 3.9197, time 2470.62ms, mfu 0.06%
iter 357: loss 4.5616, time 2098.19ms, mfu 0.06%
iter 358: loss 3.8059, time 2110.94ms, mfu 0.07%
iter 359: loss 3.7486, time 4562.40ms, mfu 0.06%
iter 360: loss 3.8876, time 4807.40ms, mfu 0.06%
iter 361: loss 4.2940, time 4808.41ms, mfu 0.06%
iter 362: loss 4.1316, time 4808.12ms, mfu 0.06%
iter 363: loss 3.8009, time 4806.41ms, mfu 0.06%
iter 364: loss 4.4449, time 4786.92ms, mfu 0.06%
iter 365: loss 4.1706, time 1710.77ms, mfu 0.06%
iter 366: loss 4.2713, time 3557.68ms, mfu 0.06%
iter 367: loss 4.1454, time 4807.46ms, mfu 0.06%
iter 368: loss 4.4217, time 4808.38ms, mfu 0.06%
iter 369: loss 4.2005, time 2446.19ms, mfu 0.06%
iter 370: loss 4.4519, time 1793.14ms, mfu 0.06%
iter 371: loss 4.3011, time 2422.56ms, mfu 0.07%
iter 372: loss 4.3540, time 4808.00ms, mfu 0.06%
iter 373: loss 4.1028, time 4806.86ms, mfu 0.06%
iter 374: loss 4.5700, time 4810.36ms, mfu 0.06%
iter 375: loss 4.3775, time 3945.67ms, mfu 0.06%
iter 376: loss 4.3686, time 1543.97ms, mfu 0.07%
iter 377: loss 4.2868, time 3815.18ms, mfu 0.06%
iter 378: loss 3.9431, time 4813.80ms, mfu 0.06%
iter 379: loss 4.5124, time 4827.84ms, mfu 0.06%
iter 380: loss 4.4510, time 2099.98ms, mfu 0.06%
iter 381: loss 4.0986, time 2396.37ms, mfu 0.07%
iter 382: loss 4.3543, time 4821.10ms, mfu 0.06%
iter 383: loss 3.8867, time 4777.85ms, mfu 0.06%
iter 384: loss 3.9631, time 1854.82ms, mfu 0.07%
iter 385: loss 4.6426, time 1868.18ms, mfu 0.07%
iter 386: loss 4.0457, time 1867.70ms, mfu 0.07%
iter 387: loss 4.1051, time 4130.06ms, mfu 0.07%
iter 388: loss 4.0053, time 4824.87ms, mfu 0.07%
iter 389: loss 3.9927, time 2329.56ms, mfu 0.07%
iter 390: loss 3.8579, time 1579.72ms, mfu 0.08%
iter 391: loss 4.6659, time 1989.43ms, mfu 0.08%
iter 392: loss 4.3140, time 2545.07ms, mfu 0.08%
iter 393: loss 4.0188, time 4831.97ms, mfu 0.07%
iter 394: loss 4.4223, time 3885.97ms, mfu 0.07%
iter 395: loss 4.4619, time 1689.36ms, mfu 0.08%
iter 396: loss 4.2023, time 1821.92ms, mfu 0.08%
iter 397: loss 3.9446, time 3772.25ms, mfu 0.08%
iter 398: loss 4.0633, time 4822.19ms, mfu 0.07%
iter 399: loss 4.0502, time 2079.46ms, mfu 0.08%
iter 400: loss 3.6980, time 1740.75ms, mfu 0.08%
iter 401: loss 4.5768, time 2651.04ms, mfu 0.08%
iter 402: loss 4.4991, time 4828.60ms, mfu 0.08%
iter 403: loss 4.1662, time 2092.47ms, mfu 0.08%
iter 404: loss 4.3832, time 1902.54ms, mfu 0.08%
iter 405: loss 4.1198, time 1912.89ms, mfu 0.08%
iter 406: loss 4.2782, time 2460.20ms, mfu 0.08%
iter 407: loss 4.0521, time 4817.33ms, mfu 0.08%
iter 408: loss 3.8277, time 3318.35ms, mfu 0.08%
iter 409: loss 4.2899, time 1561.40ms, mfu 0.08%
iter 410: loss 3.8519, time 1779.51ms, mfu 0.08%
iter 411: loss 4.0081, time 3385.95ms, mfu 0.08%
iter 412: loss 4.1266, time 4053.37ms, mfu 0.08%
iter 413: loss 4.1345, time 1787.44ms, mfu 0.08%
iter 414: loss 3.6959, time 1812.30ms, mfu 0.08%
iter 415: loss 3.8804, time 1817.81ms, mfu 0.09%
iter 416: loss 4.2742, time 2668.93ms, mfu 0.09%
iter 417: loss 4.0449, time 4613.49ms, mfu 0.08%
iter 418: loss 4.1683, time 1558.91ms, mfu 0.09%
iter 419: loss 4.5140, time 2766.69ms, mfu 0.08%
iter 420: loss 4.3792, time 3818.39ms, mfu 0.08%
iter 421: loss 3.9994, time 1809.50ms, mfu 0.08%
iter 422: loss 3.7181, time 1850.84ms, mfu 0.09%
iter 423: loss 3.7098, time 1811.51ms, mfu 0.09%
iter 424: loss 4.2767, time 1841.52ms, mfu 0.09%
iter 425: loss 4.3779, time 2893.71ms, mfu 0.09%
iter 426: loss 4.1496, time 3175.09ms, mfu 0.09%
iter 427: loss 3.8559, time 2050.59ms, mfu 0.09%
iter 428: loss 3.6771, time 2047.49ms, mfu 0.09%
iter 429: loss 4.4039, time 2036.64ms, mfu 0.09%
iter 430: loss 4.1950, time 2042.62ms, mfu 0.09%
iter 431: loss 4.1790, time 2045.64ms, mfu 0.09%
iter 432: loss 4.2105, time 2038.37ms, mfu 0.09%
iter 433: loss 3.7255, time 2061.42ms, mfu 0.09%
iter 434: loss 4.3873, time 2043.55ms, mfu 0.09%
iter 435: loss 4.2236, time 2045.42ms, mfu 0.09%
iter 436: loss 4.0491, time 2074.09ms, mfu 0.09%
iter 437: loss 4.4599, time 2040.71ms, mfu 0.09%
iter 438: loss 3.5806, time 2048.46ms, mfu 0.09%
iter 439: loss 3.9837, time 2036.29ms, mfu 0.09%
iter 440: loss 3.7786, time 2031.14ms, mfu 0.09%
iter 441: loss 3.8637, time 2044.88ms, mfu 0.09%
iter 442: loss 4.1689, time 2067.79ms, mfu 0.09%
