Number of parameters: 24,627,840
iter 175: loss 5.0004, time 4806.78ms, mfu 0.06%
iter 176: loss 4.6803, time 4808.63ms, mfu 0.06%
iter 177: loss 4.2883, time 4814.32ms, mfu 0.06%
iter 178: loss 4.5302, time 3699.24ms, mfu 0.06%
iter 179: loss 4.4460, time 1586.23ms, mfu 0.06%
iter 180: loss 4.0353, time 1974.62ms, mfu 0.07%
iter 181: loss 4.7450, time 4308.16ms, mfu 0.06%
iter 182: loss 4.4231, time 4807.27ms, mfu 0.06%
iter 183: loss 4.2491, time 4806.13ms, mfu 0.06%
iter 184: loss 4.7038, time 3767.03ms, mfu 0.06%
iter 185: loss 4.3915, time 1661.43ms, mfu 0.07%
iter 186: loss 4.7799, time 3949.60ms, mfu 0.06%
iter 187: loss 4.5591, time 4806.83ms, mfu 0.06%
iter 188: loss 4.5957, time 4807.74ms, mfu 0.06%
iter 189: loss 4.4559, time 2657.33ms, mfu 0.06%
iter 190: loss 4.6428, time 1943.08ms, mfu 0.07%
iter 191: loss 4.6498, time 3126.55ms, mfu 0.07%
iter 192: loss 4.8910, time 4808.97ms, mfu 0.06%
iter 193: loss 4.8138, time 4807.53ms, mfu 0.06%
iter 194: loss 4.2491, time 4813.63ms, mfu 0.06%
iter 195: loss 4.6670, time 3178.40ms, mfu 0.06%
iter 196: loss 4.5414, time 1787.29ms, mfu 0.06%
iter 197: loss 4.2228, time 3635.36ms, mfu 0.06%
iter 198: loss 4.3613, time 4807.96ms, mfu 0.06%
iter 199: loss 4.6704, time 4766.31ms, mfu 0.06%
iter 200: loss 4.5864, time 1573.45ms, mfu 0.07%
iter 201: loss 4.6602, time 3666.48ms, mfu 0.06%
iter 202: loss 4.5474, time 4658.52ms, mfu 0.06%
iter 203: loss 4.2773, time 4783.41ms, mfu 0.06%
iter 204: loss 4.4439, time 3144.23ms, mfu 0.06%
iter 205: loss 4.5333, time 2016.10ms, mfu 0.06%
iter 206: loss 4.4397, time 4805.70ms, mfu 0.06%
iter 207: loss 4.4023, time 4809.26ms, mfu 0.06%
iter 208: loss 4.5127, time 1813.25ms, mfu 0.07%
iter 209: loss 4.5567, time 4744.80ms, mfu 0.06%
iter 210: loss 4.3950, time 4812.68ms, mfu 0.06%
iter 211: loss 4.3213, time 3719.93ms, mfu 0.06%
