Number of parameters: 24,185,472
iter 308: loss 4.5636, time 95.83ms, mfu 2.05%
iter 309: loss 4.0364, time 95.45ms, mfu 2.05%
iter 310: loss 4.6057, time 95.13ms, mfu 2.05%
iter 311: loss 4.2691, time 95.20ms, mfu 2.05%
iter 312: loss 4.3280, time 94.76ms, mfu 2.05%
iter 313: loss 4.4025, time 96.14ms, mfu 2.05%
iter 314: loss 4.2262, time 95.09ms, mfu 2.05%
iter 315: loss 4.2874, time 96.06ms, mfu 2.05%
iter 316: loss 3.8238, time 95.06ms, mfu 2.05%
iter 317: loss 4.4050, time 95.09ms, mfu 2.05%
iter 318: loss 4.6805, time 95.24ms, mfu 2.05%
iter 319: loss 4.4068, time 95.05ms, mfu 2.05%
iter 320: loss 3.7984, time 94.97ms, mfu 2.05%
iter 321: loss 4.0969, time 95.69ms, mfu 2.05%
iter 322: loss 3.9732, time 95.39ms, mfu 2.05%
iter 323: loss 4.1560, time 95.45ms, mfu 2.05%
iter 324: loss 3.9462, time 95.09ms, mfu 2.05%
iter 325: loss 4.3394, time 94.76ms, mfu 2.05%
iter 326: loss 4.0034, time 96.00ms, mfu 2.05%
iter 327: loss 4.6792, time 94.56ms, mfu 2.05%
iter 328: loss 4.2102, time 95.05ms, mfu 2.05%
iter 329: loss 4.2526, time 96.14ms, mfu 2.05%
iter 330: loss 4.1962, time 95.53ms, mfu 2.05%
iter 331: loss 4.1439, time 96.08ms, mfu 2.05%
iter 332: loss 4.3827, time 94.36ms, mfu 2.05%
iter 333: loss 4.2939, time 94.85ms, mfu 2.05%
iter 334: loss 4.3207, time 95.08ms, mfu 2.05%
iter 335: loss 4.3138, time 95.03ms, mfu 2.05%
iter 336: loss 4.2682, time 94.92ms, mfu 2.05%
iter 337: loss 4.1326, time 94.97ms, mfu 2.05%
iter 338: loss 4.2642, time 95.98ms, mfu 2.05%
iter 339: loss 4.5003, time 95.06ms, mfu 2.05%
iter 340: loss 4.0173, time 94.95ms, mfu 2.05%
iter 341: loss 4.1457, time 95.49ms, mfu 2.05%
iter 342: loss 4.2045, time 95.32ms, mfu 2.05%
